imdb_rate,tomatoe_rate,imdb_votes_count,imdb_votes,popularity,movie_rate
6.1,3.2,193,5.8,1.235745,4.08393625
5.2,2.6,986,5.2,2.148427,3.78710675
6.0,6.3,98,5.8,0.375865,4.618966250000001
5.3,2.7,1937,5.2,6.189369,4.84734225
5.7,3.9,214,5.5,0.840205,3.98505125
5.9,4.1,324,5.4,0.73988,4.03497
6.0,5.8,18,6.1,0.31548200000000004,4.5538704999999995
5.8,2.2,882,5.8,0.131526,3.4828815
6.4,8.0,33,6.7,0.064907,5.291226750000001
6.3,7.8,39,6.3,0.292564,5.173140999999999
6.0,2.9,341,5.6,0.8752469999999999,3.84381175
6.0,2.9,101,7.3,0.712389,4.22809725
6.2,6.1,255,5.6,0.495519,4.59887975
5.7,5.6,144,5.5,0.783216,4.395804
5.6,5.9,10,4.1,0.072393,3.91809825
5.6,5.9,714,5.3,0.9394020000000001,4.4348505
6.0,2.0,1084,6.0,2.162441,4.04061025
5.8,3.5,188,5.7,0.699833,3.92495825
6.9,7.2,36,5.3,0.24742600000000003,4.9118565
5.7,4.2,308,5.4,1.0147059999999999,4.0786765
6.3,1.1,96,6.2,0.669113,3.56727825
7.0,6.5,44,6.5,0.29081999999999997,5.072705
7.0,6.8,10,6.4,0.017849,5.054462249999999
6.2,3.8,412,6.2,0.8809379999999999,4.2702345
5.9,5.9,79,5.6,0.301614,4.4254035
6.1,4.8,175,5.4,0.468552,4.192137999999999
5.8,5.1,223,5.7,0.382434,4.2456085
5.6,3.9,168,5.3,0.7711640000000001,3.892791
6.3,2.5,218,6.1,0.7967609999999999,3.9241902499999997
6.2,2.6,501,6.1,1.1403020000000001,4.010075499999999
5.6,7.5,500,6.9,2.121884,5.530471
5.6,7.5,18,5.2,0.438324,4.684581
6.1,5.0,26,5.7,0.114027,4.228506749999999
5.5,4.0,278,5.3,1.412067,4.05301675
6.2,5.1,234,5.5,0.806361,4.40159025
6.3,3.9,202,6.2,1.315266,4.4288165
6.5,4.8,151,5.9,0.506605,4.42665125
5.6,6.0,186,5.4,1.1383889999999999,4.53459725
5.6,6.0,10,5.9,0.14316500000000001,4.41079125
6.5,5.7,13,6.2,0.001983,4.600495749999999
5.3,1.5,474,5.5,1.450364,3.4375910000000003
5.6,2.4,242,5.6,1.223177,3.70579425
5.3,5.9,75,5.4,0.202265,4.2005662500000005
6.2,7.9,11,6.5,0.416516,5.254129000000001
5.6,1.2,553,5.5,1.255298,3.3888245
5.9,4.2,139,5.4,0.737768,4.059442000000001
5.7,1.8,675,5.6,1.1458059999999999,3.5614515
6.0,8.4,22,4.6,0.32910900000000004,4.83227725
5.8,2.7,452,5.5,1.285167,3.82129175
6.1,3.5,135,5.6,1.9597650000000002,4.28994125
5.7,6.3,23,5.2,0.03884,4.30971
5.4,1.6,2169,6.2,3.689601,4.222400250000001
